Source,CH1
Second,Volt
-1.164000E-06,-1.188880E+01
-1.163000E-06,-1.158000E+01
-1.162000E-06,-1.111680E+01
-1.161000E-06,-1.080800E+01
-1.160000E-06,-1.034480E+01
-1.159000E-06,-1.003600E+01
-1.158000E-06,-9.418400E+00
-1.157000E-06,-8.955200E+00
-1.156000E-06,-8.337601E+00
-1.155000E-06,-7.720000E+00
-1.154000E-06,-6.948000E+00
-1.153000E-06,-6.484800E+00
-1.152000E-06,-5.867200E+00
-1.151000E-06,-5.249600E+00
-1.150000E-06,-4.477600E+00
-1.149000E-06,-3.705600E+00
-1.148000E-06,-3.088000E+00
-1.147000E-06,-2.316000E+00
-1.146000E-06,-1.544000E+00
-1.145000E-06,-9.263999E-01
-1.144000E-06,-1.544000E-01
-1.143000E-06,+6.176000E-01
-1.142000E-06,+1.235200E+00
-1.141000E-06,+2.007200E+00
-1.140000E-06,+2.624800E+00
-1.139000E-06,+3.242400E+00
-1.138000E-06,+4.014400E+00
-1.137000E-06,+4.477600E+00
-1.136000E-06,+5.095200E+00
-1.135000E-06,+5.712800E+00
-1.134000E-06,+6.330400E+00
-1.133000E-06,+6.793600E+00
-1.132000E-06,+7.256800E+00
-1.131000E-06,+7.720000E+00
-1.130000E-06,+8.337601E+00
-1.129000E-06,+8.646400E+00
-1.128000E-06,+9.109600E+00
-1.127000E-06,+9.418400E+00
-1.126000E-06,+9.881600E+00
-1.125000E-06,+1.019040E+01
-1.124000E-06,+1.034480E+01
-1.123000E-06,+1.080800E+01
-1.122000E-06,+1.096240E+01
-1.121000E-06,+1.127120E+01
-1.120000E-06,+1.158000E+01
-1.119000E-06,+1.188880E+01
-1.118000E-06,+1.219760E+01
-1.117000E-06,+1.235200E+01
-1.116000E-06,+1.250640E+01
-1.115000E-06,+1.266080E+01
-1.114000E-06,+1.281520E+01
-1.113000E-06,+1.296960E+01
-1.112000E-06,+1.296960E+01
-1.111000E-06,+1.327840E+01
-1.110000E-06,+1.327840E+01
-1.109000E-06,+1.343280E+01
-1.108000E-06,+1.327840E+01
-1.107000E-06,+1.343280E+01
-1.106000E-06,+1.343280E+01
-1.105000E-06,+1.327840E+01
-1.104000E-06,+1.343280E+01
