Source,CH1
Second,Volt
-2.260000E-07,+1.710800E+01
-2.250000E-07,+1.565200E+01
-2.240000E-07,+1.456000E+01
-2.230000E-07,+1.274000E+01
-2.220000E-07,+1.128400E+01
-2.210000E-07,+9.100000E+00
-2.200000E-07,+7.644000E+00
-2.190000E-07,+5.824000E+00
-2.180000E-07,+4.368000E+00
-2.170000E-07,+2.548000E+00
-2.160000E-07,+7.280000E-01
-2.150000E-07,-1.092000E+00
-2.140000E-07,-2.912000E+00
-2.130000E-07,-4.368000E+00
-2.120000E-07,-5.824000E+00
-2.110000E-07,-7.280001E+00
-2.100000E-07,-8.372001E+00
-2.090000E-07,-1.019200E+01
-2.080000E-07,-1.128400E+01
-2.070000E-07,-1.237600E+01
-2.060000E-07,-1.346800E+01
-2.050000E-07,-1.383200E+01
-2.040000E-07,-1.492400E+01
-2.030000E-07,-1.601600E+01
-2.020000E-07,-1.638000E+01
-2.010000E-07,-1.638000E+01
-2.000000E-07,-1.747200E+01
-1.990000E-07,-1.747200E+01
-1.980000E-07,-1.820000E+01
-1.970000E-07,-1.856400E+01
-1.960000E-07,-1.929200E+01
-1.950000E-07,-1.965600E+01
-1.940000E-07,-2.038400E+01
-1.930000E-07,-2.074800E+01
-1.920000E-07,-2.147600E+01
-1.910000E-07,-2.220400E+01
-1.900000E-07,-2.256800E+01
-1.890000E-07,-2.329600E+01
-1.880000E-07,-2.402400E+01
-1.870000E-07,-2.475200E+01
-1.860000E-07,-2.475200E+01
-1.850000E-07,-2.511600E+01
-1.840000E-07,-2.548000E+01
-1.830000E-07,-2.584400E+01
-1.820000E-07,-2.620800E+01
-1.810000E-07,-2.657200E+01
-1.800000E-07,-2.693600E+01
-1.790000E-07,-2.730000E+01
-1.780000E-07,-2.766400E+01
-1.770000E-07,-2.802800E+01
-1.760000E-07,-2.802800E+01
-1.750000E-07,-2.802800E+01
-1.740000E-07,-2.839200E+01
-1.730000E-07,-2.875600E+01
-1.720000E-07,-2.875600E+01
-1.710000E-07,-2.875600E+01
-1.700000E-07,-2.875600E+01
-1.690000E-07,-2.839200E+01
-1.680000E-07,-2.839200E+01
-1.670000E-07,-2.802800E+01
-1.660000E-07,-2.802800E+01
-1.650000E-07,-2.766400E+01
-1.640000E-07,-2.730000E+01
-1.630000E-07,-2.693600E+01
-1.620000E-07,-2.620800E+01
-1.610000E-07,-2.584400E+01
-1.600000E-07,-2.511600E+01
-1.590000E-07,-2.402400E+01
-1.580000E-07,-2.329600E+01
-1.570000E-07,-2.220400E+01
-1.560000E-07,-2.111200E+01
-1.550000E-07,-1.965600E+01
-1.540000E-07,-1.856400E+01
-1.530000E-07,-1.638000E+01
-1.520000E-07,-1.492400E+01
-1.510000E-07,-1.346800E+01
-1.500000E-07,-1.128400E+01
-1.490000E-07,-9.828001E+00
-1.480000E-07,-8.008000E+00
-1.470000E-07,-6.188001E+00
-1.460000E-07,-4.004000E+00
-1.450000E-07,-2.548000E+00
-1.440000E-07,-7.280000E-01
-1.430000E-07,+1.092000E+00
-1.420000E-07,+2.912000E+00
-1.410000E-07,+4.732000E+00
-1.400000E-07,+5.824000E+00
-1.390000E-07,+8.008000E+00
-1.380000E-07,+9.100000E+00
-1.370000E-07,+1.092000E+01
-1.360000E-07,+1.237600E+01
-1.350000E-07,+1.310400E+01
-1.340000E-07,+1.456000E+01
-1.330000E-07,+1.528800E+01
-1.320000E-07,+1.601600E+01
-1.310000E-07,+1.674400E+01
-1.300000E-07,+1.747200E+01
-1.290000E-07,+1.783600E+01
-1.280000E-07,+1.820000E+01
-1.270000E-07,+1.856400E+01
-1.260000E-07,+1.965600E+01
-1.250000E-07,+1.965600E+01
-1.240000E-07,+2.038400E+01
-1.230000E-07,+2.074800E+01
-1.220000E-07,+2.111200E+01
-1.210000E-07,+2.184000E+01
-1.200000E-07,+2.256800E+01
-1.190000E-07,+2.293200E+01
-1.180000E-07,+2.366000E+01
-1.170000E-07,+2.438800E+01
-1.160000E-07,+2.438800E+01
-1.150000E-07,+2.475200E+01
-1.140000E-07,+2.511600E+01
-1.130000E-07,+2.548000E+01
-1.120000E-07,+2.584400E+01
-1.110000E-07,+2.620800E+01
-1.100000E-07,+2.657200E+01
-1.090000E-07,+2.693600E+01
-1.080000E-07,+2.730000E+01
-1.070000E-07,+2.730000E+01
-1.060000E-07,+2.766400E+01
-1.050000E-07,+2.766400E+01
-1.040000E-07,+2.802800E+01
-1.030000E-07,+2.802800E+01
-1.020000E-07,+2.839200E+01
-1.010000E-07,+2.839200E+01
-1.000000E-07,+2.839200E+01
-9.900000E-08,+2.802800E+01
-9.800000E-08,+2.802800E+01
-9.700000E-08,+2.766400E+01
-9.600000E-08,+2.766400E+01
-9.500000E-08,+2.730000E+01
-9.400000E-08,+2.693600E+01
-9.300000E-08,+2.657200E+01
-9.200000E-08,+2.620800E+01
-9.100000E-08,+2.548000E+01
-9.000000E-08,+2.475200E+01
-8.900000E-08,+2.402400E+01
-8.800000E-08,+2.329600E+01
-8.700000E-08,+2.256800E+01
-8.600000E-08,+2.111200E+01
-8.500000E-08,+1.965600E+01
-8.400000E-08,+1.892800E+01
-8.300000E-08,+1.747200E+01
-8.200000E-08,+1.528800E+01
